,bike_station_index,distance,restaurants,parks
40,19,472,1,0
41,19,499,1,0
42,19,334,1,0
43,19,410,1,0
44,19,418,1,0
0,20,92,1,0
1,20,220,1,0
2,20,227,1,0
3,20,129,1,0
4,20,178,1,0
5,20,148,1,0
6,20,103,1,0
7,20,314,1,0
8,20,146,1,0
9,20,202,1,0
10,20,289,1,0
11,20,350,1,0
12,20,371,1,0
13,20,293,1,0
14,20,96,1,0
15,20,352,1,0
16,20,184,1,0
17,20,462,1,0
18,20,452,1,0
19,20,456,1,0
20,20,380,1,0
21,20,363,1,0
22,20,275,1,0
23,20,457,1,0
24,20,496,1,0
25,20,267,1,0
26,20,444,1,0
27,20,305,1,0
28,20,401,1,0
29,20,286,1,0
30,20,402,1,0
31,20,200,1,0
32,20,259,1,0
33,20,509,1,0
34,20,410,1,0
35,20,514,1,0
36,20,218,1,0
37,20,530,0,1
38,20,469,1,0
39,20,417,1,0
40,20,447,1,0
41,20,475,1,0
42,20,169,1,0
43,20,475,1,0
44,20,450,1,0
45,20,292,1,0
46,20,155,1,0
47,20,480,1,0
48,20,332,1,0
49,20,443,1,0
0,21,92,1,0
1,21,233,1,0
2,21,57,1,0
3,21,314,1,0
4,21,273,1,0
5,21,133,1,0
6,21,363,1,0
7,21,77,1,0
8,21,402,1,0
9,21,384,1,0
10,21,432,1,0
11,21,310,1,0
12,21,400,1,0
13,21,470,1,0
14,21,398,1,0
15,21,442,1,0
16,21,460,1,0
17,21,402,1,0
18,21,428,1,0
19,21,389,1,0
20,21,455,1,0
21,21,125,1,0
22,21,222,1,0
23,21,310,1,0
24,21,478,1,0
25,21,495,1,0
26,21,469,1,0
27,21,421,1,0
28,21,118,1,0
29,21,396,1,0
30,21,172,1,0
31,21,265,1,0
32,21,276,1,0
33,21,395,1,0
34,21,80,1,0
35,21,432,1,0
36,21,408,1,0
37,21,475,1,0
38,21,328,1,0
39,21,204,1,0
40,21,387,1,0
41,21,371,1,0
42,21,142,1,0
43,21,435,1,0
44,21,218,1,0
45,21,225,1,0
46,21,159,1,0
47,21,236,1,0
48,21,248,1,0
49,21,273,1,0
0,22,58,1,0
1,22,147,1,0
2,22,39,1,0
3,22,117,1,0
4,22,181,1,0
5,22,118,1,0
6,22,263,1,0
7,22,236,1,0
8,22,30,1,0
9,22,342,1,0
10,22,91,1,0
11,22,403,1,0
12,22,73,1,0
13,22,293,1,0
14,22,428,1,0
15,22,413,1,0
16,22,467,1,0
17,22,498,1,0
18,22,365,1,0
19,22,430,1,0
20,22,473,1,0
21,22,204,1,0
22,22,386,1,0
23,22,363,1,0
24,22,239,1,0
25,22,311,1,0
26,22,477,1,0
27,22,376,1,0
28,22,394,1,0
29,22,460,1,0
30,22,405,1,0
31,22,470,1,0
32,22,408,1,0
33,22,393,1,0
34,22,77,1,0
35,22,338,1,0
36,22,436,1,0
37,22,49,1,0
38,22,109,1,0
39,22,111,1,0
40,22,116,1,0
41,22,156,1,0
42,22,159,1,0
43,22,496,1,0
44,22,250,1,0
45,22,315,1,0
46,22,354,1,0
47,22,395,1,0
48,22,412,1,0
49,22,412,1,0
0,23,36,1,0
1,23,167,1,0
2,23,202,1,0
3,23,92,1,0
4,23,103,1,0
5,23,30,1,0
6,23,430,1,0
7,23,284,1,0
8,23,466,1,0
9,23,450,1,0
10,23,292,0,1
11,23,53,1,0
12,23,392,1,0
13,23,492,1,0
14,23,261,1,0
15,23,345,1,0
16,23,218,1,0
17,23,477,1,0
18,23,400,1,0
19,23,493,1,0
20,23,370,1,0
21,23,252,1,0
22,23,384,1,0
23,23,193,1,0
24,23,50,1,0
25,23,104,1,0
26,23,77,0,1
27,23,111,1,0
28,23,139,1,0
29,23,201,1,0
30,23,214,1,0
